3.000000e+12 2.909973e+01 
3.299730e+12 3.642841e+01 
3.599460e+12 4.515480e+01 
3.899190e+12 5.552800e+01 
4.198920e+12 6.769267e+01 
4.498650e+12 8.195291e+01 
4.798380e+12 9.864341e+01 
5.098110e+12 1.181530e+02 
5.397840e+12 1.409665e+02 
5.697570e+12 1.675924e+02 
5.997300e+12 1.985431e+02 
6.297030e+12 2.346178e+02 
6.596760e+12 2.760198e+02 
6.896490e+12 3.232343e+02 
7.196220e+12 3.759481e+02 
7.495950e+12 4.329316e+02 
7.795680e+12 4.926072e+02 
8.095410e+12 5.511321e+02 
8.395140e+12 6.044435e+02 
8.694869e+12 6.478862e+02 
8.994599e+12 6.772913e+02 
9.294329e+12 6.901958e+02 
9.594059e+12 6.870192e+02 
9.893789e+12 6.697449e+02 
1.019352e+13 6.415180e+02 
1.049325e+13 6.065874e+02 
1.079298e+13 5.685808e+02 
1.109271e+13 5.298633e+02 
1.139244e+13 4.921491e+02 
1.169217e+13 4.571542e+02 
1.199190e+13 4.246248e+02 
1.229163e+13 3.960359e+02 
1.259136e+13 3.701423e+02 
1.289109e+13 3.470860e+02 
1.319082e+13 3.271198e+02 
1.349055e+13 3.091807e+02 
1.379028e+13 2.940280e+02 
1.409001e+13 2.805087e+02 
1.438974e+13 2.689235e+02 
1.468947e+13 2.591225e+02 
1.498920e+13 2.500064e+02 
1.528893e+13 2.431569e+02 
1.558866e+13 2.365708e+02 
1.588839e+13 2.311206e+02 
1.618812e+13 2.267239e+02 
1.648785e+13 2.224870e+02 
1.678758e+13 2.193836e+02 
1.708731e+13 2.170630e+02 
1.738704e+13 2.148225e+02 
1.768677e+13 2.131533e+02 
1.798650e+13 2.125344e+02 
1.828623e+13 2.119357e+02 
1.858596e+13 2.113564e+02 
1.888569e+13 2.116514e+02 
1.918542e+13 2.123688e+02 
1.948515e+13 2.130642e+02 
1.978488e+13 2.137385e+02 
2.008461e+13 2.150648e+02 
2.038434e+13 2.170018e+02 
2.068407e+13 2.188826e+02 
2.098380e+13 2.207098e+02 
2.128353e+13 2.224855e+02 
2.158326e+13 2.251757e+02 
2.188299e+13 2.281016e+02 
2.218272e+13 2.309486e+02 
2.248245e+13 2.337196e+02 
2.278218e+13 2.364177e+02 
2.308191e+13 2.393657e+02 
2.338164e+13 2.430781e+02 
2.368137e+13 2.466965e+02 
2.398110e+13 2.502244e+02 
2.428083e+13 2.536653e+02 
2.458056e+13 2.570223e+02 
2.488029e+13 2.602983e+02 
2.518002e+13 2.648514e+02 
2.547975e+13 2.694824e+02 
2.577948e+13 2.740056e+02 
2.607921e+13 2.784249e+02 
2.637894e+13 2.827438e+02 
2.667867e+13 2.869656e+02 
2.697840e+13 2.910936e+02 
2.727813e+13 2.955597e+02 
2.757786e+13 3.008246e+02 
2.787759e+13 3.059762e+02 
2.817732e+13 3.110183e+02 
2.847705e+13 3.159542e+02 
2.877678e+13 3.207873e+02 
2.907651e+13 3.255208e+02 
2.937624e+13 3.301577e+02 
2.967597e+13 3.347009e+02 
2.997570e+13 3.393846e+02 
3.027543e+13 3.446951e+02 
3.057516e+13 3.500674e+02 
3.087489e+13 3.555165e+02 
3.117462e+13 3.610808e+02 
3.147435e+13 3.666872e+02 
3.177408e+13 3.724075e+02 
3.207381e+13 3.781624e+02 
3.237354e+13 3.839916e+02 
3.267327e+13 3.899040e+02 
3.297300e+13 3.958862e+02 
3.327273e+13 4.019231e+02 
3.357246e+13 4.080332e+02 
3.387219e+13 4.142452e+02 
3.417192e+13 4.205064e+02 
3.447165e+13 4.268094e+02 
3.477138e+13 4.331479e+02 
3.507111e+13 4.396327e+02 
3.537084e+13 4.461333e+02 
3.567057e+13 4.526520e+02 
3.597030e+13 4.592391e+02 
3.627003e+13 4.659208e+02 
3.656976e+13 4.726211e+02 
3.686949e+13 4.793641e+02 
3.716922e+13 4.861863e+02 
3.746895e+13 4.929928e+02 
3.776868e+13 4.998241e+02 
3.806841e+13 5.067109e+02 
3.836814e+13 5.135768e+02 
3.866787e+13 5.205519e+02 
3.896760e+13 5.275438e+02 
3.926733e+13 5.345765e+02 
3.956706e+13 5.417243e+02 
3.986679e+13 5.488380e+02 
4.016652e+13 5.561487e+02 
4.046625e+13 5.634152e+02 
4.076598e+13 5.708243e+02 
4.106571e+13 5.782429e+02 
4.136544e+13 5.857649e+02 
4.166517e+13 5.933200e+02 
4.196490e+13 6.009332e+02 
4.226463e+13 6.085848e+02 
4.256436e+13 6.162700e+02 
4.286409e+13 6.240188e+02 
4.316382e+13 6.318299e+02 
4.346355e+13 6.397005e+02 
4.376328e+13 6.476795e+02 
4.406301e+13 6.556495e+02 
4.436274e+13 6.637338e+02 
4.466247e+13 6.717433e+02 
4.496220e+13 6.798939e+02 
4.526193e+13 6.879366e+02 
4.556166e+13 6.962565e+02 
4.586139e+13 7.045281e+02 
4.616112e+13 7.128442e+02 
4.646085e+13 7.211828e+02 
4.676058e+13 7.292135e+02 
4.706031e+13 7.359104e+02 
4.736004e+13 7.425226e+02 
4.765977e+13 7.519288e+02 
4.795950e+13 7.626550e+02 
4.825923e+13 7.730532e+02 
4.855896e+13 7.817800e+02 
4.885869e+13 7.903998e+02 
4.915842e+13 7.991361e+02 
4.945815e+13 8.080111e+02 
4.975788e+13 8.167792e+02 
5.005761e+13 8.258112e+02 
5.035734e+13 8.348590e+02 
5.065707e+13 8.437999e+02 
5.095680e+13 8.530689e+02 
5.125653e+13 8.622618e+02 
5.155626e+13 8.713549e+02 
5.185599e+13 8.807996e+02 
